ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01 08:26:00,696.74644665704,-1785.4429036497324,2647.353684365982,696.74644665704,696.74644665704,-216.86390716168728,-216.86390716168728,-216.86390716168728,-252.52940923568798,-252.52940923568798,-252.52940923568798,35.66550207400067,35.66550207400067,35.66550207400067,0.0,0.0,0.0,479.8825394953527
2010-12-01 08:28:00,696.7535466726872,-1676.196273456272,2722.0643172240384,696.7535466726872,696.7535466726872,-216.2796459584868,-216.2796459584868,-216.2796459584868,-251.77786399449406,-251.77786399449406,-251.77786399449406,35.4982180360073,35.4982180360073,35.4982180360073,0.0,0.0,0.0,480.4739007142004
2010-12-01 08:34:00,696.7748467196282,-1737.8245626567436,2649.598914586997,696.7748467196282,696.7748467196282,-214.13052038504696,-214.13052038504696,-214.13052038504696,-249.12732299768055,-249.12732299768055,-249.12732299768055,34.99680261263355,34.99680261263355,34.99680261263355,0.0,0.0,0.0,482.6443263345812
2010-12-01 08:35:00,696.7783967274518,-1829.3577879972963,2546.529876661502,696.7783967274518,696.7783967274518,-213.72260375361415,-213.72260375361415,-213.72260375361415,-248.6359036117978,-248.6359036117978,-248.6359036117978,34.9132998581837,34.9132998581837,34.9132998581837,0.0,0.0,0.0,483.0557929738376
2010-12-01 08:45:00,696.813896805687,-1611.7863648975324,2632.624959569551,696.813896805687,696.813896805687,-209.0938297752419,-209.0938297752419,-209.0938297752419,-243.17322999555873,-243.17322999555873,-243.17322999555873,34.079400220316856,34.079400220316856,34.079400220316856,0.0,0.0,0.0,487.72006703044514
2010-12-01 09:00:00,696.8671469230399,-1723.029776216316,2733.6329440576424,696.8671469230399,696.8671469230399,-201.4030634949238,-201.4030634949238,-201.4030634949238,-234.23589392642253,-234.23589392642253,-234.23589392642253,32.83283043149873,32.83283043149873,32.83283043149873,0.0,0.0,0.0,495.46408342811606
2010-12-01 09:01:00,696.8706969308635,-1667.2849201888532,2489.9453561697865,696.8706969308635,696.8706969308635,-200.90303920711708,-200.90303920711708,-200.90303920711708,-233.6529661524684,-233.6529661524684,-233.6529661524684,32.7499269453513,32.7499269453513,32.7499269453513,0.0,0.0,0.0,495.96765772374636
2010-12-01 09:02:00,696.874246938687,-1684.072778355647,2834.916978645514,696.874246938687,696.874246938687,-200.40793462159309,-200.40793462159309,-200.40793462159309,-233.07498474649233,-233.07498474649233,-233.07498474649233,32.667050124899234,32.667050124899234,32.667050124899234,0.0,0.0,0.0,496.46631231709387
2010-12-01 09:09:00,696.8990969934515,-1710.3738039253171,2693.630987031836,696.8990969934515,696.8990969934515,-197.12485320097136,-197.12485320097136,-197.12485320097136,-229.21253476565326,-229.21253476565326,-229.21253476565326,32.08768156468194,32.08768156468194,32.08768156468194,0.0,0.0,0.0,499.77424379248015
2010-12-01 09:32:00,696.9807471733927,-1938.0403964366606,2758.7335151399793,696.9807471733927,696.9807471733927,-190.2155315102534,-190.2155315102534,-190.2155315102534,-220.41000912136136,-220.41000912136136,-220.41000912136136,30.194477611107942,30.194477611107942,30.194477611107942,0.0,0.0,0.0,506.7652156631393
